doc_id,entity_type,entity_text
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Teluk Banten
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Menyediakan
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Timur Laut Kemiringan
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Figling
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Zingga
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Dering Soekaboemi
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Djati
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Selat Lombok
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Tabanan
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Patoeha
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Sumbawa
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Zebing Tinggi
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Gedong Kebo
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Batjan
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,India Kepulauan
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Timur Dari
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Susuhunan
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Kediaman Benggala
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Kepulauan Sunda Besar
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Den
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Gili
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Newio Guinea
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Seannel Bahasa
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Rindoe Hati
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Breda
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Windoe
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Gada
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Babak
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Timor Sangsit
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Inggris Raya
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Asia
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Willem Ien
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Kalang
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Siwa
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Pakog
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Jara Barat
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Kalibawang
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Sitinggil
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Pontianak
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Surambi
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Pegunungan Kendang Selatan
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Kawasan
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,States General
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Kabupaten Salatiga
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Magelang
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Infanteri
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Hok
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Kepulauan Hindia
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Borobodor
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Kali Serojoe
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Kepulauan Bandasche
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Timur Laut
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Bataria
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Amboina
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Selatan Residence Madioen
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Benteng Brfprins
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Bagian
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Dersdnd
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Java Oosthoek
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Kecamatan Koeripan
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Coimpagnie
